"att1";"att2";"att3";"att4";"att5";"att6";"att7";"att8";"att9";"att10";"att11";"att12";"att13";"att14";"att15";"att16";"att17";"att18";"att19";"att20";"att21";"att22";"att23";"att24";"att25";"att26";"att27";"att28";"att29";"att30";"att31";"att32";"att33";"att34";"att35";"att36";"att37";"att38";"label"
-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-0.9793869221999121;0.08862550857951534;-0.23009877977919813;-0.16642450911204287;"1"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-0.7332833060986397;0.23668848399080145;-0.2671808145370028;0.11453360454979444;"1"
-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-0.9685097816484306;0.14717848929771793;-0.778088848977867;-0.1580389389347835;"1"
1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-0.995804086058078;-0.6500972934724925;-0.6053562939094607;-0.6083689650877995;"2"
-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.7850230908817971;0.13550327259862027;0.028471818710052332;-6.226908547469767E-4;"2"
-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.9540383378967136;-0.13267291703520256;-0.5922032644868205;-0.4421520195940055;"1"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-0.6243438439246571;0.6410755351140986;0.383233849241984;0.6248080036531196;"2"
-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-0.9217707715193486;-0.22218291172828586;-0.5544873487929851;-0.6336917265141766;"3"
-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-0.4960198124889439;-0.7902910569964609;-0.6336917265141766;"1"
-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.13349275788715642;0.5409517070581993;0.27172362791189064;0.6600938187554486;"2"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.858166484653051;0.07978064744383517;-0.332047963657493;-0.14226410394786004;"1"
-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.7417306178999716;-0.04139395011498315;-0.22756325603507477;-0.3600398522147038;"2"
-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-0.9002041498645832;0.06138333628162029;-0.9162220696212562;-0.1949022375358047;"0"
-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.6126970359723216;0.4510879179196887;-0.18234641593154088;0.377724272489518;"0"
-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.9490562489421229;-0.06669025296302844;-0.5073688658813587;-0.37913570509361116;"1"
-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-0.8462219665070874;0.3980187511056077;-0.16068881728382023;-0.009838515505002254;"1"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.5233013251886611;0.16026888377852466;-0.11969785008715861;0.0239528415459338;"3"
-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.792679155018913;0.2285512117459756;-0.6132798056098463;-0.12640624351363694;"0"
1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.990286302172866;-1.0;-1.0;-0.8581095105649882;"1"
-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.9791907796734209;-0.15000884486113564;-0.4832813903121863;-0.22670098385155046;"2"
-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.9501084945591083;-0.11551388643198301;-0.6458718504040991;-0.5578894931296443;"0"
-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-0.9292920521523604;0.7965681938793561;0.4665891923300407;0.7414587571090538;"1"
-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-0.9622438819666779;0.416592959490536;0.7177645132322645;1.0;"1"
-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.6326863782454437;0.29984079249955786;-0.23036289683587763;0.35962472497820586;"1"
-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.9541624888939023;-0.17672032549088978;-0.54513760498653;-0.4605836688945162;"1"
-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.8785538437888133;0.20113214222536713;-0.25725001320585283;-0.07277180455809706;"1"
-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.9887724166060384;-0.12984256147178486;-0.9034916274893032;-0.5794761094275396;"1"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;0.6077329449000564;-0.013974880594374683;0.521525540119381;0.2742745651542198;"1"
1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-0.9731081832645259;-0.06439058906775164;-0.6300776504146638;-0.4018016522064013;"2"
-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-0.9992844408823158;-0.1362108614894746;-0.7149120490201257;-0.4462202665116858;"1"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.9488966753612488;-0.08420307801167526;-0.5414927896043527;-0.43874797625472206;"1"
-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.9455624816832857;-0.17919688660888022;-0.4549680418361418;-0.34210635559799074;"1"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.6921207735856659;-0.3637006898991686;-0.3084887222016798;-0.47768691103823324;"2"
1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.8738648795801243;0.19405625331682286;-0.28519359780254605;0.005770268587321992;"1"
1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-0.9659136157820105;0.5809304793914736;0.22809149014843388;0.45344348042675087;"3"
-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;1.0;0.4521493012559703;0.31931752152554016;0.3517373074847441;"2"
-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.8980618286868705;-0.2697682646382452;-0.5166129628651419;-0.3720785420731454;"1"
-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-0.9481885675961197;-0.3889969927472139;-0.7976335111721515;-0.7703516127693137;"1"
1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-0.3818277674882241;0.43994339288873174;0.13443558184987592;0.4283697953422725;"4"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-0.8148366402722564;-0.2094463116929064;-0.5502086524747768;-0.5639503507825148;"1"
-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-0.8010003956668207;-0.057668494604634746;-0.4779462257672601;-0.5089875046701814;"2"
1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-0.9530685157026078;-0.23120467008667966;-0.4656911943373303;-0.5185354311096351;"3"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-0.9737935930634098;0.2285512117459756;-0.6132798056098463;-0.12640624351363694;"0"
1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-0.9588725461621321;0.12205908367238627;-0.05065765147113199;-0.1730665448960106;"1"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-0.9431937540240887;0.021404563948346;0.02313665416512589;-0.17896135165428206;"1"
1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-0.8883183254495157;0.05536883070935783;-0.376630922824996;-0.14807588525883186;"1"
-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.9088385479331467;-0.48558287634884134;-0.7672072262426708;-0.5750757607206609;"1"
-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-0.7717431757217509;0.02388112506633644;-0.24372721990386137;0.08182157831375325;"1"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-0.3412504527413154;1.0;1.0;0.7814770227074599;"1"
1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-0.7647334017826043;0.7141340880948168;-0.17283820189107812;0.4125949603553489;"1"
1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.7779240153481813;0.11480629754112859;-0.1298927684749881;-0.1156129353646893;"3"
-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-0.9824619234451477;-0.2251901645144171;-0.4986530030109344;-0.4445597575656939;"1"
-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.9877049243753632;-0.27949761188749334;-0.515450847815752;-0.5788119058491428;"2"
-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-0.9816576359139603;-0.5016805236157793;-0.9591675030373461;-1.0;"1"
-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.9768344327230848;-0.3709534760304263;-0.6394802176324548;-0.8185893976503799;"1"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-0.7756284255802182;0.3118698036440828;-0.0067085732396597875;0.13404458466519986;"0"
-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-0.9767483409420241;0.11816734477268698;-0.245047805187259;0.011582049898293922;"2"
